Species,MSW2,MSW3,Country,native,Family,Genus,sex,PM4,CsupL,Lat,Long,,,,
Mustela nivalis,Mustela nivalis,Mustela nivalis,North Dakota,native,Mustelidae,Mustela,Female,2.95,1.22,46.28,-99.35,,,,
Mustela nivalis,Mustela nivalis,Mustela nivalis,Germany,native,Mustelidae,Mustela,Female,2.98,1.22,50.95,14.32,,,,
Mustela nivalis,Mustela nivalis,Mustela nivalis,Sweden,native,Mustelidae,Mustela,Male,3.03,1.22,63.38,14.88,,,,
Mustela nivalis,Mustela nivalis,Mustela nivalis,Belgium,native,Mustelidae,Mustela,Female,3.06,1.22,50.30,5.47,,,,
Mustela nivalis,Mustela nivalis,Mustela nivalis,Michigan,native,Mustelidae,Mustela,Female,3.06,1.22,42.27,-83.73,,,,
Mustela nivalis,Mustela nivalis,Mustela nivalis,Ohio,native,Mustelidae,Mustela,Male,3.10,1.22,41.23,-81.15,,,,
Mustela nivalis,Mustela nivalis,Mustela nivalis,Minnesota,native,Mustelidae,Mustela,Male,3.11,1.22,48.87,-95.80,,,,
Mustela nivalis,Mustela nivalis,Mustela nivalis,Michigan,native,Mustelidae,Mustela,Female,3.13,1.22,42.35,-84.13,,,,
Mustela nivalis,Mustela nivalis,Mustela nivalis,Sweden,native,Mustelidae,Mustela,Male,3.16,1.22,63.60,15.35,,,,
Mustela nivalis,Mustela nivalis,Mustela nivalis,Sweden,native,Mustelidae,Mustela,Male,3.21,1.22,63.60,15.35,,,,
Mustela nivalis,Mustela nivalis,Mustela nivalis,Belgium,native,Mustelidae,Mustela,Female,3.24,1.22,49.88,5.75,,,,
Mustela nivalis,Mustela nivalis,Mustela nivalis,Germany,native,Mustelidae,Mustela,Female,3.24,1.22,50.73,7.10,,,,
Mustela nivalis,Mustela nivalis,Mustela nivalis,Sweden,native,Mustelidae,Mustela,Male,3.25,1.22,63.38,14.88,,,,
Mustela nivalis,Mustela nivalis,Mustela nivalis,Belgium,native,Mustelidae,Mustela,Female,3.26,1.22,50.30,5.47,,,,
Mustela nivalis,Mustela nivalis,Mustela nivalis,Denmark (Jutland),native,Mustelidae,Mustela,Female,3.66,1.22,56.42,9.40,,,,
Mustela erminea,Mustela erminea,Mustela erminea,Washington,native,Mustelidae,Mustela,Female,3.26,1.23,48.15,-124.67,,,,
Mustela erminea,Mustela erminea,Mustela erminea,Washington,native,Mustelidae,Mustela,Female,3.26,1.23,46.07,-117.72,,,,
Mustela erminea,Mustela erminea,Mustela erminea,Washington,native,Mustelidae,Mustela,Female,3.28,1.23,48.98,-120.07,,,,
Mustela erminea,Mustela erminea,Mustela erminea,Oregon,native,Mustelidae,Mustela,Female,3.29,1.23,45.45,-123.85,,,,
Mustela erminea,Mustela erminea,Mustela erminea,Washington,native,Mustelidae,Mustela,Female,3.33,1.23,48.75,-121.67,,,,
Mustela erminea,Mustela erminea,Mustela erminea,Vermont,native,Mustelidae,Mustela,Female,3.56,1.23,43.62,-72.98,,,,
Mustela erminea,Mustela erminea,Mustela erminea,British Columbia,native,Mustelidae,Mustela,Female,3.74,1.23,53.27,-121.27,,,,
Mustela nivalis,Mustela nivalis,Mustela nivalis,North Western Teritorries,native,Mustelidae,Mustela,Female,2.81,1.23,62.83,-113.83,,,,
Mustela nivalis,Mustela nivalis,Mustela nivalis,Altai,native,Mustelidae,Mustela,Female,3.01,1.23,51.00,88.00,,,,
Mustela nivalis,Mustela nivalis,Mustela nivalis,Alaska,native,Mustelidae,Mustela,Male,3.19,1.23,70.48,-149.15,,,,
Mustela nivalis,Mustela nivalis,Mustela nivalis,Ohio,native,Mustelidae,Mustela,Female,3.20,1.23,41.40,-82.60,,,,
Mustela nivalis,Mustela nivalis,Mustela nivalis,Belgium,native,Mustelidae,Mustela,Female,3.21,1.23,50.30,5.47,,,,
Mustela nivalis,Mustela nivalis,Mustela nivalis,Alaska,native,Mustelidae,Mustela,Female,3.22,1.23,71.30,-156.78,,,,
